Trip ID,Pickup Time,Drop Off Time,passenger_count,trip_distance,PULocationID,DOLocationID,fare_amount,Surge Fee,Vehicle,Payment_type
44,01/06/2024 01:40,01/06/2024 01:52,1,3.43,48,79,13,0,Uber Green,Cash
45,01/06/2024 01:14,01/06/2024 01:26,1,2.73,238,116,11,0,Uber Black,Cash
46,01/06/2024 01:21,01/06/2024 01:34,1,4.64,170,74,14.5,4,Uber Green,Uber Pay
47,01/06/2024 01:41,01/06/2024 01:51,1,2.61,144,170,10,0,Uber Comfort,Cash
48,01/06/2024 01:25,01/06/2024 01:41,1,3.84,71,17,14,0,UberX,Cash
49,01/06/2024 01:30,01/06/2024 01:30,1,3,231,231,2.5,0,Uber Comfort,Cash
50,01/06/2024 01:49,01/06/2024 02:04,1,7.27,68,42,21.5,5.06,Uber Green,Uber Pay
51,01/06/2024 01:43,01/06/2024 01:49,1,1.32,129,7,7,0,Uber Comfort,Cash
52,01/06/2024 01:16,01/06/2024 01:47,1,11.7,24,225,35.5,0,UberX,Cash
53,01/06/2024 01:49,02/06/2024 01:24,1,19.31,35,115,53.5,2.75,Uber Black,Uber Pay
54,01/06/2024 01:19,01/06/2024 01:40,1,4.95,230,42,19,2,UberX,Uber Pay
55,01/06/2024 01:12,01/06/2024 01:28,2,4.02,86,201,15.5,0,Uber Black,Cash
56,01/06/2024 01:49,01/06/2024 02:02,1,2.5,264,264,11.5,0,UberXL,Cash
57,01/06/2024 01:47,01/06/2024 02:04,1,2.6,100,114,13,3.35,UberX,Uber Pay
58,01/06/2024 01:13,01/06/2024 01:23,4,3.27,148,181,12,3.16,UberX,Uber Pay
59,01/06/2024 01:35,01/06/2024 02:26,2,6.25,144,65,34,0,Uber Comfort,Cash
60,01/06/2024 01:17,01/06/2024 01:34,1,7.9,45,260,24.5,0,UberX,Cash
61,01/06/2024 01:09,01/06/2024 01:19,1,2.2,144,186,10,0,Uber Green,Cash
62,01/06/2024 02:06,01/06/2024 02:24,1,11.59,137,241,32,0,UberX,Cash
63,01/06/2024 02:51,01/06/2024 02:58,1,1.86,170,114,8,0,UberX,Cash
64,01/06/2024 02:25,01/06/2024 02:35,2,2.48,234,229,10,4.14,Uber Black,Uber Pay
65,01/06/2024 02:03,01/06/2024 02:25,1,5.7,229,129,21,0,UberX,Cash
66,01/06/2024 02:25,01/06/2024 02:35,1,3.05,113,48,11.5,1.5,Uber Green,Uber Pay
67,01/06/2024 02:15,01/06/2024 02:18,2,1.22,114,164,5.5,0,Uber Green,Cash
68,01/06/2024 02:26,01/06/2024 02:48,2,3.71,170,170,17.5,0,Uber Green,Cash
69,01/06/2024 02:37,01/06/2024 02:58,5,11.12,186,121,31.5,0,Uber Comfort,Cash
70,01/06/2024 02:56,01/06/2024 03:18,1,6.04,65,165,22,0,Uber Comfort,Uber Pay
71,01/06/2024 02:00,01/06/2024 02:19,1,5.38,97,186,18.5,0,UberX,Cash
72,01/06/2024 02:10,01/06/2024 02:36,6,5.9,74,234,19,0,Uber Green,Cash
73,01/06/2024 02:01,01/06/2024 02:11,2,2.3,263,230,9.5,1,UberX,Uber Pay
74,01/06/2024 02:36,01/06/2024 02:46,1,2.4,92,53,10,0,Uber Black,Cash
75,01/06/2024 03:56,01/06/2024 04:11,1,9.4,74,88,26,1,UberX,Uber Pay
76,01/06/2024 03:55,01/06/2024 04:02,1,2,238,143,8,0,UberX,Cash
77,01/06/2024 03:59,01/06/2024 04:18,1,8.3,79,168,24.5,0,UberX,Cash
78,01/06/2024 03:04,01/06/2024 03:24,1,15.87,238,16,43,0,Uber Comfort,Uber Pay
79,01/06/2024 03:30,01/06/2024 03:44,1,5.05,90,43,15.5,0,UberX,Cash
80,01/06/2024 03:28,01/06/2024 03:39,2,3.54,262,137,12,3.16,Uber Green,Uber Pay
81,01/06/2024 03:37,01/06/2024 03:42,1,1.8,48,90,7,1.5,Uber Black,Uber Pay
82,01/06/2024 03:44,01/06/2024 03:50,1,1.38,186,246,7,0,UberX,Cash
83,01/06/2024 03:18,01/06/2024 03:23,1,1.41,186,48,6.5,0,UberXL,Cash
84,01/06/2024 03:54,01/06/2024 04:01,1,1.23,239,142,7,0,UberX,Cash
85,01/06/2024 03:14,01/06/2024 03:38,2,16.77,168,76,45,0,UberX,Cash
86,01/06/2024 03:10,01/06/2024 03:41,1,8.3,79,72,27.5,0,UberX,Cash
87,01/06/2024 03:46,01/06/2024 03:57,2,3.1,75,42,11.5,0,UberX,Cash
88,01/06/2024 04:34,01/06/2024 04:44,1,2.61,45,170,10,3.45,Uber Comfort,Uber Pay
89,01/06/2024 04:04,01/06/2024 04:33,2,13.15,114,47,38.5,0,UberX,Cash
90,01/06/2024 04:55,01/06/2024 05:03,2,2.85,244,41,10.5,0,Uber Black,Cash
91,01/06/2024 04:38,01/06/2024 04:50,1,4.2,238,168,14,1,UberX,Uber Pay
92,01/06/2024 04:08,01/06/2024 04:23,1,3.45,186,148,13.5,0,UberXL,Cash
93,01/06/2024 04:19,01/06/2024 04:25,1,1.8,42,74,8,0,UberX,Cash
94,01/06/2024 04:10,01/06/2024 04:28,1,8.7,95,132,27,0,UberX,Cash
95,01/06/2024 03:57,01/06/2024 04:39,1,8.8,28,77,25.5,0,Uber Comfort,Uber Pay
96,01/06/2024 04:11,01/06/2024 04:33,1,10.83,137,78,31,0,UberX,Uber Pay
97,01/06/2024 05:13,01/06/2024 05:21,1,1.3,239,236,7.5,0,UberX,Cash
98,01/06/2024 05:56,01/06/2024 06:00,1,1.1,238,75,5.5,1.35,Uber Green,Uber Pay
99,01/06/2024 05:30,01/06/2024 05:42,6,5.02,151,68,16,0,UberX,Cash
100,01/06/2024 05:32,01/06/2024 05:41,1,2.52,164,140,10.5,2.86,UberX,Uber Pay
101,01/06/2024 05:29,01/06/2024 05:37,1,1.8,186,163,8.5,2.45,Uber Black,Uber Pay
102,01/06/2024 05:30,01/06/2024 05:36,2,1.65,186,162,7.5,2.26,UberX,Uber Pay
103,01/06/2024 05:20,01/06/2024 05:34,1,8.95,132,95,26,0,UberX,Cash
104,01/06/2024 05:24,01/06/2024 05:28,3,1.15,186,161,5.5,2.32,Uber Black,Uber Pay
105,01/06/2024 05:27,01/06/2024 05:38,1,4.2,107,88,14.5,0,UberX,Cash
106,01/06/2024 05:41,01/06/2024 05:43,1,1.05,74,263,5,0,Uber Green,Cash
107,01/06/2024 05:46,01/06/2024 05:52,1,1.62,142,140,7,2.16,UberX,Uber Pay
108,01/06/2024 05:20,01/06/2024 05:25,4,1.56,229,237,7,0,Uber Comfort,Cash
109,01/06/2024 05:53,01/06/2024 06:08,1,4.7,238,168,16.5,4,Uber Green,Uber Pay
110,01/06/2024 05:47,01/06/2024 06:09,1,10.1,132,225,29.5,0,UberX,Cash
111,01/06/2024 05:24,01/06/2024 05:30,1,1.2,75,41,6,0,UberX,Cash
112,01/06/2024 05:19,01/06/2024 05:40,1,7.1,68,244,22,1.5,UberX,Uber Pay
113,01/06/2024 05:47,01/06/2024 05:54,5,2,238,75,8.5,0,Uber Comfort,Cash
114,01/06/2024 05:26,01/06/2024 05:46,1,7.7,100,42,24,0,UberX,Cash
115,01/06/2024 05:20,01/06/2024 05:26,1,1.59,143,48,7.5,0,Uber Black,Cash
116,01/06/2024 05:40,01/06/2024 05:45,1,1.56,140,75,6.5,2.06,Uber Black,Uber Pay
117,01/06/2024 05:53,01/06/2024 06:05,1,3.73,230,79,13,0,Uber Comfort,Cash
118,01/06/2024 05:38,01/06/2024 05:47,1,3.3,100,236,11.5,4,UberX,Uber Pay
119,01/06/2024 05:41,01/06/2024 05:55,2,4.89,75,68,15,1,UberX,Uber Pay
120,01/06/2024 05:58,01/06/2024 06:10,1,3.2,186,140,12,0,Uber Green,Uber Pay
121,01/06/2024 04:59,01/06/2024 05:09,1,3.09,142,137,11.5,0,UberX,Cash
122,01/06/2024 05:58,01/06/2024 06:03,1,1.46,48,234,6.5,0,UberXL,Cash
123,01/06/2024 05:33,01/06/2024 05:40,1,2.01,140,230,8.5,0,Uber Green,Cash
124,01/06/2024 05:33,01/06/2024 05:41,3,4.1,168,169,13.5,0,UberX,Cash
125,01/06/2024 05:26,01/06/2024 05:34,1,1.47,137,186,8,0,UberX,Cash
126,01/06/2024 04:58,01/06/2024 05:04,1,1.35,48,90,6.5,0,UberX,Cash
127,01/06/2024 05:24,01/06/2024 05:32,1,2.28,143,151,9,2.56,UberX,Uber Pay
128,01/06/2024 05:57,01/06/2024 06:02,1,1.7,100,162,7.5,0,Uber Black,Uber Pay
129,01/06/2024 05:43,01/06/2024 05:54,1,3.24,143,75,12,1.58,Uber Black,Uber Pay
130,01/06/2024 05:49,01/06/2024 05:53,1,1.7,75,141,6.5,5,UberXL,Uber Pay
131,01/06/2024 05:19,01/06/2024 05:57,1,17.73,132,226,47,9.66,UberX,Uber Pay
132,01/06/2024 05:59,01/06/2024 06:05,1,1.37,186,170,6.5,0,Uber Comfort,Cash
133,01/06/2024 05:58,01/06/2024 06:16,1,10.48,132,122,30,6.26,UberXL,Uber Pay
134,01/06/2024 06:32,01/06/2024 06:42,1,2.7,238,141,10.5,2.07,UberX,Uber Pay
135,01/06/2024 06:40,01/06/2024 06:44,1,1.12,42,41,5.5,0,UberX,Cash
136,01/06/2024 06:29,01/06/2024 06:35,1,1.3,186,161,6.5,0,Uber Comfort,Cash
137,01/06/2024 06:57,01/06/2024 07:02,1,1.7,263,162,7,2,UberXL,Uber Pay
138,01/06/2024 06:48,01/06/2024 06:54,1,1.8,113,68,7.5,0,Uber Green,Cash
139,01/06/2024 06:17,01/06/2024 06:26,1,1.9,186,107,8.5,2.35,UberX,Uber Pay
140,01/06/2024 07:41,01/06/2024 07:50,1,2.27,43,140,9.5,2,UberX,Uber Pay
141,01/06/2024 06:09,01/06/2024 06:26,1,1.25,24,41,12,0,UberXL,Cash
142,01/06/2024 06:32,01/06/2024 06:43,1,2.79,43,140,10.5,0,UberX,Cash
143,01/06/2024 06:07,01/06/2024 06:18,1,3.16,79,256,12.5,0,UberX,Cash
144,01/06/2024 06:45,01/06/2024 06:55,1,2.72,79,100,10.5,0,Uber Green,Cash
145,01/06/2024 06:49,01/06/2024 06:55,1,1.32,75,151,6.5,0,UberX,Uber Pay
146,01/06/2024 06:10,01/06/2024 06:24,1,3.5,231,233,13.5,3.36,Uber Black,Uber Pay
147,01/06/2024 06:40,01/06/2024 06:45,1,1.94,142,236,7.5,0,UberX,Cash
148,01/06/2024 06:11,01/06/2024 06:17,1,1.7,137,4,7.5,0,UberX,Cash
149,01/06/2024 05:57,01/06/2024 06:02,1,1.4,186,230,6.5,2.45,UberXL,Uber Pay
150,01/06/2024 06:55,01/06/2024 07:05,1,2.47,90,231,9.5,3.2,UberX,Uber Pay
151,01/06/2024 06:06,01/06/2024 06:42,1,18.93,143,214,52.5,13.61,Uber Green,Uber Pay
152,01/06/2024 06:22,01/06/2024 06:47,1,11.9,163,93,35,0,UberX,Cash
153,01/06/2024 06:57,01/06/2024 07:04,1,1.6,140,75,8,2,Uber Black,Uber Pay
154,01/06/2024 06:56,01/06/2024 07:01,2,1.52,162,236,6.5,2.94,UberXL,Uber Pay
155,01/06/2024 06:56,01/06/2024 07:02,4,1.67,140,233,7.5,2.16,Uber Green,Uber Pay
156,01/06/2024 06:30,01/06/2024 06:45,1,4.51,262,226,15.5,2,UberX,Uber Pay
157,01/06/2024 06:25,01/06/2024 06:38,1,3.44,238,170,13,4.08,Uber Green,Uber Pay
158,01/06/2024 06:00,01/06/2024 06:06,1,1.2,162,246,6.5,0,UberXL,Cash
159,01/06/2024 06:37,01/06/2024 06:43,1,2,237,170,7.5,0,UberXL,Cash
160,01/06/2024 06:42,01/06/2024 06:54,1,3.41,236,50,12.5,3.16,UberX,Uber Pay
161,01/06/2024 06:26,01/06/2024 06:33,1,1.7,148,137,8,2.26,Uber Green,Uber Pay
162,01/06/2024 06:57,01/06/2024 07:09,1,1.74,75,166,9.5,0,UberX,Cash
163,01/06/2024 06:34,01/06/2024 06:36,1,1.11,79,137,5,1.66,UberX,Uber Pay
164,01/06/2024 06:26,01/06/2024 06:33,1,2.12,142,161,8.5,0,UberX,Cash
165,01/06/2024 06:20,01/06/2024 06:25,1,1.83,233,140,7,2.06,UberXL,Uber Pay
166,01/06/2024 06:37,01/06/2024 06:44,1,1.93,186,162,8,2.26,UberX,Uber Pay
167,01/06/2024 06:03,01/06/2024 06:13,2,1.64,100,137,8.5,0,Uber Black,Cash
168,01/06/2024 06:22,01/06/2024 06:26,2,1.01,170,161,5,1.66,UberX,Uber Pay
169,01/06/2024 06:42,01/06/2024 06:48,1,2.4,262,233,9,3,Uber Green,Uber Pay
170,01/06/2024 06:49,01/06/2024 07:09,1,4.84,233,260,18.5,0,Uber Black,Cash
171,01/06/2024 06:53,01/06/2024 07:09,1,2.9,43,140,13,3.25,UberX,Uber Pay
172,01/06/2024 06:44,01/06/2024 06:59,1,5.28,238,158,17.5,5,UberX,Uber Pay
173,01/06/2024 06:37,01/06/2024 07:03,1,11.68,132,49,33.5,6.86,UberX,Uber Pay
174,01/06/2024 06:00,01/06/2024 06:14,1,3.3,166,262,13,0.01,UberX,Uber Pay
175,01/06/2024 06:29,01/06/2024 06:38,1,2.9,162,75,10.5,2,Uber Black,Uber Pay
176,01/06/2024 06:22,01/06/2024 06:28,1,1.4,48,162,7,1.03,Uber Comfort,Uber Pay
177,01/06/2024 06:33,01/06/2024 06:42,1,3.32,161,232,12,3.82,Uber Black,Uber Pay
178,01/06/2024 06:54,01/06/2024 07:01,1,2.73,107,140,9,0,UberX,Cash
179,01/06/2024 06:14,01/06/2024 06:28,3,3.42,142,137,13.5,3.36,Uber Black,Uber Pay
180,01/06/2024 06:54,01/06/2024 06:59,1,1.1,264,161,6,0,UberX,Amazon Pay
181,01/06/2024 06:56,01/06/2024 07:02,3,1.3,263,140,7,0,UberX,Cash
182,01/06/2024 06:59,01/06/2024 07:08,1,1.84,140,75,8.5,1.18,UberX,Uber Pay
183,01/06/2024 06:55,01/06/2024 07:07,1,2,41,75,10,0,UberX,Cash
184,01/06/2024 06:24,01/06/2024 06:28,1,1.09,164,161,5.5,0,Uber Comfort,Cash
185,01/06/2024 06:34,01/06/2024 06:52,1,3.72,114,25,15.5,0,Uber Black,Cash
186,01/06/2024 06:43,01/06/2024 06:54,1,3.51,236,233,12.5,3.16,Uber Black,Uber Pay
187,01/06/2024 06:26,01/06/2024 06:38,6,3.06,142,137,12,0,UberX,Cash
188,01/06/2024 05:58,01/06/2024 06:29,1,10.58,42,185,33.5,0,UberX,Cash
189,01/06/2024 06:33,01/06/2024 06:38,1,1.54,162,237,6.5,3.01,UberX,Uber Pay
190,01/06/2024 06:46,01/06/2024 06:54,2,1.39,186,137,7,0,UberX,Cash
191,01/06/2024 06:36,01/06/2024 06:45,1,2.6,236,142,9.5,2,UberX,Uber Pay
192,01/06/2024 06:52,01/06/2024 07:00,1,2.7,238,68,9.5,0,UberX,Cash
193,01/06/2024 06:19,01/06/2024 06:23,1,1.02,186,161,5.5,0,Uber Black,Cash
194,01/06/2024 06:51,01/06/2024 06:54,1,1.47,239,166,6,1.86,Uber Green,Uber Pay
195,01/06/2024 06:00,01/06/2024 06:06,1,2,264,162,8,2.26,UberX,Uber Pay
196,01/06/2024 06:30,01/06/2024 06:43,1,3,229,113,12,3.05,Uber Black,Uber Pay
197,01/06/2024 06:30,01/06/2024 06:38,1,2.7,230,211,9.5,1,UberX,Uber Pay
198,01/06/2024 06:36,01/06/2024 06:44,1,1.8,68,161,8,0,Uber Green,Cash
199,01/06/2024 06:25,01/06/2024 06:29,1,2,263,233,7.5,0,UberXL,Cash
200,01/06/2024 06:36,01/06/2024 06:39,2,1.2,107,170,5.5,2.2,UberX,Uber Pay
201,01/06/2024 06:43,01/06/2024 06:55,1,2.8,68,141,11.5,1,UberX,Uber Pay
202,01/06/2024 06:59,01/06/2024 07:09,1,2.5,141,164,10,2.65,Uber Black,Uber Pay
203,01/06/2024 06:32,01/06/2024 06:35,1,1.43,233,107,6,0,UberX,Cash
204,01/06/2024 06:53,01/06/2024 07:03,1,2.92,90,143,10.5,3,UberX,Uber Pay
205,01/06/2024 06:15,01/06/2024 06:30,1,4.39,239,113,15.5,0,UberXL,Cash
206,01/06/2024 06:33,01/06/2024 06:40,1,1.39,186,137,7.5,2,UberX,Uber Pay
207,01/06/2024 06:02,01/06/2024 06:08,1,1.4,48,162,7,3.24,UberX,Uber Pay
208,01/06/2024 06:35,01/06/2024 06:46,1,2.03,233,68,10,5.98,UberX,Uber Pay
209,01/06/2024 06:21,01/06/2024 06:26,1,1.7,48,143,7,2.05,UberX,Uber Pay
210,01/06/2024 06:47,01/06/2024 06:53,1,2.43,107,140,8.5,2.36,Uber Comfort,Uber Pay
211,01/06/2024 06:25,01/06/2024 06:32,1,1.34,186,161,7,3.09,UberX,Uber Pay
212,01/06/2024 06:38,01/06/2024 06:46,1,1.9,186,237,8.5,0,UberX,Cash
213,01/06/2024 06:46,01/06/2024 06:56,1,2.3,226,7,10.5,0,UberXL,Cash
214,01/06/2024 06:41,01/06/2024 06:58,2,1.41,186,137,11.5,2.96,UberX,Uber Pay
215,01/06/2024 06:35,01/06/2024 06:43,1,2.2,238,74,9,0,UberX,Cash
216,01/06/2024 06:54,01/06/2024 07:03,1,1.8,170,211,8,3.39,UberX,Uber Pay
217,01/06/2024 06:47,01/06/2024 06:55,4,1.57,75,43,8,0,UberX,Cash
218,01/06/2024 06:28,01/06/2024 06:48,1,5.66,48,260,20,7,Uber Black,Uber Pay
219,01/06/2024 06:51,01/06/2024 07:07,1,3.6,231,68,14.5,0,Uber Black,Cash
220,01/06/2024 06:49,01/06/2024 06:53,1,1.74,262,74,6.5,0,Uber Comfort,Cash
221,01/06/2024 06:11,01/06/2024 06:18,1,1.4,107,68,7.5,0,UberXL,Cash
222,01/06/2024 06:07,01/06/2024 06:16,1,2.4,162,114,10,3.99,Uber Black,Uber Pay
223,01/06/2024 06:24,01/06/2024 06:44,1,4.56,100,75,18,4.26,UberXL,Uber Pay
224,01/06/2024 06:33,01/06/2024 06:40,1,1.52,140,163,7.5,2.16,UberX,Uber Pay
225,01/06/2024 06:51,01/06/2024 06:59,1,1.64,142,140,8,1,Uber Comfort,Uber Pay
226,01/06/2024 06:26,01/06/2024 06:38,1,4,161,74,13.5,0,Uber Black,Cash
227,01/06/2024 06:58,01/06/2024 07:07,1,3.1,79,141,10.5,0,Uber Black,Cash
228,01/06/2024 06:08,01/06/2024 06:19,1,1.74,100,107,9,0,UberXL,Cash
229,01/06/2024 06:31,01/06/2024 06:39,1,1.32,162,50,7,1.7,UberXL,Uber Pay
230,01/06/2024 06:37,01/06/2024 06:40,1,1.1,262,140,5,2.05,Uber Comfort,Uber Pay
231,01/06/2024 06:55,01/06/2024 07:06,1,3.64,186,75,12.5,3.16,Uber Black,Uber Pay
232,01/06/2024 06:57,01/06/2024 07:33,1,26.64,132,20,70.5,0,UberX,Cash
233,01/06/2024 06:45,01/06/2024 06:51,1,1.9,186,114,7.5,0,UberXL,Cash
234,01/06/2024 06:23,01/06/2024 06:39,1,4.19,41,140,16,3.86,Uber Black,Uber Pay
235,01/06/2024 06:46,01/06/2024 07:13,1,7.48,229,116,26,1.5,UberX,Uber Pay
236,01/06/2024 06:46,01/06/2024 06:54,1,2,148,170,8.5,0,UberX,Cash
237,01/06/2024 06:28,01/06/2024 06:33,1,1.16,161,68,6.5,0,UberXL,Cash
238,01/06/2024 06:30,01/06/2024 06:40,3,3.27,186,151,12,3.06,UberX,Uber Pay
239,01/06/2024 06:45,01/06/2024 06:51,5,1.33,264,264,6.5,0,UberX,Cash
240,01/06/2024 07:13,01/06/2024 07:21,1,1.54,100,233,7.5,0,UberX,Cash
241,01/06/2024 07:34,01/06/2024 07:43,1,3.2,50,24,11,0,UberXL,Cash
242,01/06/2024 07:28,01/06/2024 07:38,2,1.55,142,141,8.5,0,UberX,Cash
243,01/06/2024 07:35,01/06/2024 07:44,1,1.1,262,141,7.5,0,UberX,Cash
244,01/06/2024 07:04,01/06/2024 07:10,1,1.38,170,107,6.5,2.45,Uber Comfort,Uber Pay
245,01/06/2024 07:12,01/06/2024 07:18,1,1.6,186,163,7,2.06,UberX,Uber Pay
246,01/06/2024 07:06,01/06/2024 07:25,1,8.2,239,261,25,5.66,UberX,Uber Pay
247,01/06/2024 07:26,01/06/2024 07:31,1,1.28,229,233,6,1.86,Uber Black,Uber Pay
248,01/06/2024 07:10,01/06/2024 07:17,1,1.7,263,162,7.5,0,UberX,Cash
249,01/06/2024 07:56,01/06/2024 08:07,1,4.5,75,137,14.5,3.55,Uber Comfort,Uber Pay
250,01/06/2024 07:11,01/06/2024 07:22,1,4.23,263,168,14,5.19,UberX,Uber Pay
251,01/06/2024 07:07,01/06/2024 07:14,1,1.71,186,162,7.5,2.16,Uber Comfort,Uber Pay
252,01/06/2024 07:35,01/06/2024 07:45,1,1.7,151,75,9.5,0,Uber Comfort,Cash
253,01/06/2024 07:09,01/06/2024 07:15,1,1.02,262,140,6,2.79,Uber Comfort,Uber Pay
254,01/06/2024 07:26,01/06/2024 07:35,1,1.98,140,233,8.5,0,UberX,Cash
255,01/06/2024 07:05,01/06/2024 07:10,1,1.09,162,137,6,1.86,UberX,Uber Pay
256,01/06/2024 07:13,01/06/2024 07:49,2,7.5,68,61,29,0,UberX,Cash
257,01/06/2024 07:54,01/06/2024 07:58,1,1.46,137,79,6,0,UberX,Uber Pay
258,01/06/2024 07:23,01/06/2024 07:29,1,1.3,186,162,6.5,0,UberX,Cash
259,01/06/2024 07:57,01/06/2024 08:02,1,1.3,237,162,6,1,Uber Comfort,Uber Pay
260,01/06/2024 07:42,01/06/2024 07:51,1,2.1,262,142,9,0,Uber Black,Cash
261,01/06/2024 07:36,01/06/2024 07:53,1,2.9,140,186,14.5,5.3,UberX,Uber Pay
262,01/06/2024 07:14,01/06/2024 07:20,1,2,236,162,8,2.35,UberXL,Uber Pay
263,01/06/2024 07:37,01/06/2024 07:47,1,3.4,262,170,12,3.15,UberX,Uber Pay
264,01/06/2024 07:34,01/06/2024 07:46,3,3.59,107,43,12.5,3.95,UberXL,Uber Pay
265,01/06/2024 07:50,01/06/2024 07:59,1,2.88,143,90,10.5,2.76,UberX,Uber Pay
266,01/06/2024 07:44,01/06/2024 08:00,2,7.96,140,244,23.5,5,UberX,Uber Pay
267,01/06/2024 07:50,01/06/2024 07:57,1,1.3,211,232,7,3,UberXL,Uber Pay
268,01/06/2024 07:52,01/06/2024 08:04,1,2.44,230,107,10.5,4,UberX,Uber Pay
269,01/06/2024 07:34,01/06/2024 07:45,2,3.52,262,233,12.5,3.95,Uber Black,Uber Pay
270,01/06/2024 07:30,01/06/2024 07:34,1,1.4,79,170,5.5,1.75,Uber Black,Uber Pay
271,01/06/2024 07:06,01/06/2024 07:14,1,1.78,74,151,8,1.76,UberX,Uber Pay
272,01/06/2024 07:48,01/06/2024 08:06,1,3.77,7,233,15,2,Uber Black,Uber Pay
273,01/06/2024 07:31,01/06/2024 07:44,4,2.46,239,140,11.5,2.96,Uber Comfort,Uber Pay
274,01/06/2024 07:43,01/06/2024 07:53,1,2.4,140,170,10,2.65,UberXL,Uber Pay
275,01/06/2024 07:36,01/06/2024 07:44,1,2.7,224,237,9.5,1,UberX,Uber Pay
276,01/06/2024 07:27,01/06/2024 07:37,1,2.17,140,163,9.5,0,UberX,Cash
